Time,BlinkCount,RatioAvg
21:33:54,1,28.333333333333332
21:33:55,2,29.666666666666668
21:33:57,3,27.0
21:33:58,4,26.0
21:34:08,5,28.0
21:34:09,6,29.333333333333332
21:34:11,7,27.333333333333332
21:34:13,8,27.0
21:34:24,9,28.0
21:34:30,10,27.333333333333332
